"Date","Number 1","Number 2","Number 3","Number 4","Number 5","Lucky Ball"
"01/09/2020","1","37","14","28","21","12"
"01/06/2020","8","15","48","33","5","2"
"01/02/2020","33","18","1","3","22","7"
"12/30/2019","47","15","4","40","34","16"
"12/26/2019","30","35","25","16","29","17"
"12/23/2019","1","6","46","16","21","13"
"12/19/2019","44","28","27","6","40","9"
"12/16/2019","45","21","11","20","38","17"
"12/12/2019","38","17","21","28","16","8"
"12/09/2019","16","45","1","27","39","10"
"12/05/2019","32","11","19","16","3","3"
"12/02/2019","46","43","10","31","44","13"
"11/28/2019","24","9","22","3","41","3"
"11/25/2019","31","3","1","40","2","5"
"11/21/2019","17","37","20","23","15","7"
"11/18/2019","15","28","37","22","35","17"
"11/14/2019","30","22","9","11","21","14"
"11/11/2019","22","5","3","36","23","12"
"11/07/2019","10","1","18","15","40","15"
"11/04/2019","44","42","28","48","34","15"
"10/31/2019","31","41","33","46","2","18"
"10/28/2019","34","15","23","18","11","10"
"10/24/2019","5","24","48","13","38","6"
"10/21/2019","15","9","35","14","40","10"
"10/17/2019","33","9","27","8","25","17"
"10/14/2019","41","19","35","17","12","9"
"10/10/2019","31","34","30","45","27","16"
"10/07/2019","38","18","31","43","13","16"
"10/03/2019","1","43","13","42","44","18"
"09/30/2019","3","47","45","14","48","3"
"09/26/2019","11","4","47","33","43","17"
"09/23/2019","4","43","23","48","25","9"
"09/19/2019","21","39","28","27","13","5"
"09/16/2019","22","37","31","12","11","7"
"09/12/2019","16","29","43","2","46","3"
"09/09/2019","33","22","9","17","8","18"
"09/05/2019","38","20","5","47","32","15"
"09/02/2019","6","46","7","25","22","14"
"08/29/2019","28","24","43","11","33","10"
"08/26/2019","25","37","30","9","48","14"
"08/22/2019","42","22","14","7","9","14"
"08/19/2019","26","8","28","17","40","10"
"08/15/2019","19","13","27","11","2","8"
"08/12/2019","2","39","14","5","27","3"
"08/08/2019","46","45","34","25","28","18"
"08/05/2019","47","20","30","37","42","10"
"08/01/2019","34","22","27","1","19","15"
"07/29/2019","16","5","19","6","27","9"
"07/25/2019","37","35","26","48","29","3"
"07/22/2019","33","41","31","47","5","17"
"07/18/2019","32","8","13","34","48","2"
"07/15/2019","18","19","3","14","32","4"
"07/11/2019","23","26","19","42","5","13"
"07/08/2019","23","11","16","37","18","7"
"07/04/2019","43","48","31","2","7","6"
"07/01/2019","22","17","27","11","32","16"
"06/27/2019","23","16","27","14","19","14"
"06/24/2019","44","23","3","17","21","2"
"06/20/2019","43","13","33","30","39","4"
"06/17/2019","47","29","40","3","25","8"
"06/13/2019","4","46","8","10","5","5"
"06/10/2019","26","40","43","39","34","11"
"06/06/2019","42","28","29","4","22","5"
"06/03/2019","24","19","3","44","30","4"
"05/30/2019","17","18","39","7","19","9"
"05/27/2019","15","37","46","47","43","10"
"05/23/2019","12","29","35","23","38","18"
"05/20/2019","46","27","36","29","26","2"
"05/16/2019","26","9","32","18","28","2"
"05/13/2019","28","11","13","38","6","18"
"05/09/2019","5","46","7","39","44","15"
"05/06/2019","26","13","39","36","14","9"
"05/02/2019","5","9","7","33","25","16"
"04/29/2019","39","7","28","22","48","5"
"04/25/2019","44","18","21","8","47","13"
"04/22/2019","46","20","1","11","30","1"
"04/18/2019","10","28","27","47","2","18"
"04/15/2019","20","10","4","24","30","3"
"04/11/2019","13","17","39","35","30","7"
"04/08/2019","44","34","46","17","23","14"
"04/04/2019","8","16","3","4","27","3"
"04/01/2019","9","19","41","22","33","4"
"03/28/2019","44","34","40","31","21","10"
"03/25/2019","7","14","31","9","29","8"
"03/21/2019","26","9","27","24","38","11"
"03/18/2019","39","3","24","27","11","14"
"03/14/2019","25","24","11","23","12","9"
"03/11/2019","19","24","30","44","46","1"
"03/07/2019","5","44","29","8","47","8"
"03/04/2019","45","12","28","35","4","13"
"02/28/2019","29","4","10","7","37","1"
"02/25/2019","45","24","31","48","26","17"
"02/21/2019","23","27","21","15","37","14"
"02/18/2019","8","31","15","29","1","2"
"02/14/2019","38","32","24","26","42","18"
"02/11/2019","32","41","5","3","10","10"
"02/07/2019","18","29","34","23","43","3"
"02/04/2019","30","14","24","37","38","12"
"01/31/2019","6","10","45","29","4","10"
"01/28/2019","6","12","32","30","37","18"
"01/24/2019","21","32","30","29","45","10"
"01/21/2019","40","47","2","43","16","12"
"01/17/2019","46","27","38","22","9","5"
"01/14/2019","42","13","11","18","29","3"
"01/10/2019","13","9","21","34","43","9"
"01/07/2019","37","18","34","31","35","14"
"01/03/2019","2","4","17","30","31","15"
"12/31/2018","4","15","10","19","43","8"
"12/27/2018","32","39","16","9","41","9"
"12/24/2018","27","2","47","14","9","7"
"12/20/2018","41","40","26","21","8","13"
"12/17/2018","32","4","8","44","31","9"
"12/13/2018","31","15","40","38","39","1"
"12/10/2018","16","47","28","26","20","16"
"12/06/2018","14","31","5","28","26","5"
"12/03/2018","7","43","8","37","28","11"
"11/29/2018","36","4","11","1","41","8"
"11/26/2018","29","10","43","23","37","14"
"11/22/2018","40","8","38","48","18","2"
"11/19/2018","15","44","43","1","14","15"
"11/15/2018","38","42","28","29","14","2"
"11/12/2018","15","9","2","37","4","15"
"11/08/2018","39","40","38","10","16","13"
"11/05/2018","8","28","37","34","18","9"
"11/01/2018","47","31","13","4","37","5"
"10/29/2018","29","14","43","16","26","13"
"10/25/2018","30","20","22","27","12","16"
"10/22/2018","7","36","37","46","41","16"
"10/18/2018","24","30","4","31","21","16"
"10/15/2018","41","1","42","30","39","12"
"10/11/2018","33","42","18","38","10","7"
"10/08/2018","34","36","48","5","35","15"
"10/04/2018","34","28","15","1","10","11"
"10/01/2018","16","40","13","8","10","1"
"09/27/2018","30","29","34","9","5","14"
"09/24/2018","21","45","16","27","9","17"
"09/20/2018","17","10","8","40","36","16"
"09/17/2018","19","3","6","47","5","15"
"09/13/2018","23","43","12","29","6","4"
"09/10/2018","1","13","23","11","42","3"
"09/06/2018","27","29","36","39","14","6"
"09/03/2018","27","44","47","40","43","3"
"08/30/2018","20","46","40","32","16","10"
"08/27/2018","6","19","32","12","8","17"
"08/23/2018","10","45","34","6","28","7"
"08/20/2018","16","48","44","36","4","11"
"08/16/2018","8","43","42","39","48","11"
"08/13/2018","1","27","15","41","22","7"
"08/09/2018","13","30","25","37","33","5"
"08/06/2018","13","29","15","7","5","5"
"08/02/2018","23","20","16","17","9","3"
"07/30/2018","8","36","34","37","15","2"
"07/26/2018","20","10","44","14","9","16"
"07/23/2018","5","28","11","1","48","7"
"07/19/2018","36","29","27","40","14","4"
"07/16/2018","14","48","17","18","21","12"
"07/12/2018","8","14","20","4","26","6"
"07/09/2018","43","48","24","18","46","6"
"07/05/2018","12","46","16","32","31","17"
"07/02/2018","27","39","18","43","13","8"
"06/28/2018","47","48","3","27","23","3"
"06/25/2018","31","45","42","3","48","17"
"06/21/2018","44","25","3","6","39","1"
"06/18/2018","27","31","34","22","1","6"
"06/14/2018","7","37","33","41","13","18"
"06/11/2018","46","4","25","36","5","9"
"06/07/2018","9","27","38","2","43","13"
"06/04/2018","36","1","5","33","20","5"
"05/31/2018","42","16","48","41","34","3"
"05/28/2018","16","13","6","4","32","7"
"05/24/2018","48","32","38","18","39","12"
"05/21/2018","48","31","12","4","45","7"
"05/17/2018","21","46","7","14","6","8"
"05/14/2018","42","36","26","11","33","14"
"05/10/2018","17","48","47","46","35","11"
"05/07/2018","5","40","6","2","15","16"
"05/03/2018","47","29","22","5","26","8"
"04/30/2018","10","13","21","16","1","17"
"04/26/2018","29","27","20","30","21","17"
"04/23/2018","7","27","48","12","20","13"
"04/19/2018","16","35","43","48","19","9"
"04/16/2018","11","26","9","38","33","7"
"04/12/2018","20","39","5","33","48","18"
"04/09/2018","44","9","13","39","20","18"
"04/05/2018","12","2","10","48","46","12"
"04/02/2018","32","6","2","11","33","4"
"03/29/2018","31","19","16","44","48","7"
"03/26/2018","15","4","40","23","3","6"
"03/22/2018","9","31","27","17","29","16"
"03/19/2018","17","31","32","26","45","14"
"03/15/2018","17","47","16","40","10","5"
"03/12/2018","8","45","1","44","20","15"
"03/08/2018","26","34","20","24","39","18"
"03/05/2018","5","42","23","17","35","12"
"03/01/2018","44","10","7","26","46","14"
"02/26/2018","6","11","16","37","28","11"
"02/22/2018","42","35","32","23","6","8"
"02/19/2018","44","14","41","2","47","16"
"02/15/2018","38","11","1","46","36","10"
"02/12/2018","47","33","7","37","11","10"
"02/08/2018","4","32","40","10","13","12"
"02/05/2018","1","5","48","32","2","17"
"02/01/2018","24","13","21","3","47","10"
"01/29/2018","33","1","6","30","4","2"
"01/25/2018","43","31","8","9","45","6"
"01/22/2018","35","26","30","13","5","5"
"01/18/2018","36","21","28","15","5","14"
"01/15/2018","40","11","32","33","15","18"
"01/11/2018","15","8","16","41","12","9"
"01/08/2018","22","15","28","3","1","15"
"01/04/2018","19","11","46","12","28","4"
"01/01/2018","25","15","35","31","18","2"
"12/28/2017","4","44","29","48","21","7"
"12/25/2017","43","44","37","8","45","16"
"12/21/2017","14","10","18","15","24","16"
"12/18/2017","32","13","21","29","16","17"
"12/14/2017","48","17","25","21","30","10"
"12/11/2017","47","37","46","16","48","9"
"12/07/2017","18","41","21","46","7","2"
"12/04/2017","31","1","37","7","2","8"
"11/30/2017","48","2","27","3","44","16"
"11/27/2017","37","13","20","12","46","1"
"11/23/2017","19","10","44","43","15","8"
"11/20/2017","7","28","16","20","24","11"
"11/16/2017","25","20","14","22","21","13"
"11/13/2017","39","21","20","37","42","17"
"11/09/2017","40","41","10","42","36","9"
"11/06/2017","46","22","24","44","28","18"
"11/02/2017","2","8","47","38","4","16"
"10/30/2017","46","12","2","40","22","10"
"10/26/2017","43","39","2","6","12","2"
"10/23/2017","9","10","31","7","4","15"
"10/19/2017","32","44","9","27","24","15"
"10/16/2017","1","27","2","17","12","7"
"10/12/2017","43","5","27","19","35","10"
"10/09/2017","43","23","21","27","19","2"
"10/05/2017","13","21","26","12","36","6"
"10/02/2017","47","24","28","37","25","5"
"09/28/2017","9","10","12","16","32","14"
"09/25/2017","17","19","30","14","48","4"
"09/21/2017","13","24","7","30","19","12"
"09/18/2017","19","14","30","4","46","9"
"09/14/2017","17","9","4","14","23","17"
"09/11/2017","48","27","30","23","11","18"
"09/07/2017","29","33","19","28","27","16"
"09/04/2017","9","33","1","4","15","3"
"08/31/2017","47","19","42","36","20","12"
"08/28/2017","48","47","6","5","1","17"
"08/24/2017","40","3","27","1","43","9"
"08/21/2017","5","29","45","38","42","1"
"08/17/2017","37","36","31","17","12","9"
"08/14/2017","17","15","39","8","4","2"
"08/10/2017","48","30","43","29","19","3"
"08/07/2017","37","7","12","36","22","12"
"08/03/2017","30","44","37","26","11","18"
"07/31/2017","44","7","22","14","23","5"
